objectid,file name,title,descriptive title,creator,work type,year created,subject,dimensions,material,technique,description,edition size,current location,current owner,identifier,type,format,file size,file date,file owner,rights
ross001,claustrophobic2020.jpg,Claustrophobic ,Tapestry of Bent Figure,"Ross, Jenna",tapestry ,2020,"figurative art; textile craft, ","14"" x 5"" ",wool on cotton warp,rigid heddle loom,,,"Springfield, MA","Ross, Jenna",claustrophobic2020,image,jpg,"1,784,852 bytes",4/12/2020,"Ross, Jenna",copyright J Ross
ross002,bird2021.jpg,The Bird,Tapestry of Kneeling Figure,"Ross, Jenna",tapestry ,2021,"figurative art; textile craft, ","12"" x 14"" ",wool and cotton on cotton warp,treadle loom,,,"Springfield, MA","Ross, Jenna",bird2021,image,jpg,"1,255,247 bytes",10/16/2022,"Ross, Jenna",copyright J Ross
ross003,shepherd2021.jpg,Shepherd,Kneeling Figure in Paper Mache,"Ross, Jenna",sculpture,2021,figurative art; papier-mache sculpture,"6"" x 6""","paper, pva",paper-mache,,,"Springfield, MA","Ross, Jenna",shepherd2021,image,jpg,"335,214 bytes",10/16/2022,"Ross, Jenna",copyright J Ross
ross004,valley2021.jpg,Valley,Figure with Raised Arms,"Ross, Jenna",sculpture,2021,figurative art; papier mache sculpture,"8"" x 6""","paper, pva",paper-mache,,,"Springfield, MA","Ross, Jenna",valley2021,image,jpg,"2,790,007 bytes",9/22/2022,"Ross, Jenna",copyright J Ross
ross005,earth2021.jpg,Earth,Felted Rested Figure,"Ross, Jenna",sculpture,2021,figurative art; textile craft,"60"" x 35""","hand dyed felt, upholstery foundation",felt work,"Earth is a near life sized soft sculpture that can be displayed either upright on a wall or on the ground, these two positions give the work a slighly varied difference in perspective when one approaches it on the ground versus on a pedestal. The artist enjoys exploring the varying ways that pieces can be interpreted, none of which can be said are right or wrong. Composed of upholstery foam which is then wrapped in wool and then felted with hand dyed wool to achieve the desired colors. ",,"Springfield, MA","Ross, Jenna",earth2021,image,jpg,"167,293 bytes",4/12/2025,"Ross, Jenna",copyright J Ross
ross006,reachme2021.jpg,They Will Never Reach Me,Figurative Rug 1,"Ross, Jenna",rug,2021,figurative art; textile craft,"12"" x 24""",wool on cotton base cloth,hooking,"They Will Never Reach Me is a hand punched rug meant to be displayed on a wall. The piece aimed to explore the fusion between line and form, with some of the human figure being ignored and instead melting into the horizontal background. ",,"Springfield, MA","Ross, Jenna",reachme2021,image,jpg,"3,460,819 bytes",4/28/2023,"Ross, Jenna",copyright J Ross
ross007,phases2021.jpg,Phases,Series of Hand Rugs,"Ross, Jenna",rug,2021,"extremities, anatomy; textile craft","14"" x 4""",wool on cotton base cloth,hooking,,,"Springfield, MA","Ross, Jenna",phases2021,image,jpg,"209,882 bytes",4/12/2025,"Ross, Jenna",copyright J Ross
ross008,bananastill2022.jpg,Tin Foil Banana,Banana and Tin Foil Still Life,"Ross, Jenna",painting,2022,still life painting,"9"" x 12""",oil on canvas,painting,,,"Springfield, MA","Ross, Jenna",bananastill2022,image,jpg,"3,152,578 bytes",4/12/2025,"Ross, Jenna",copyright J Ross
ross009,garlicstill2022.jpg,Garlic,Garlic and Tissue Still Life,"Ross, Jenna",painting,2022,still life painting,"9"" x 12""",oil on canvas,painting,,,"Springfield, MA","Ross, Jenna",garlicstill2022,image,jpg,"4,531,956 bytes",4/12/2025,"Ross, Jenna",copyright J Ross
ross010,lampstill2022.jpg,Banker's Lamp,Lamp and Vase Still Life,"Ross, Jenna",painting,2022,still life painting,"9"" x 12""",oil on canvas,painting,,,"Springfield, MA","Ross, Jenna",lampstill2022,image,jpg,"2,105,963 bytes",4/12/2025,"Ross, Jenna",copyright J Ross
ross011,satfigurestill2022.jpg,Sitting Figure,Sitting Figure Still Life,"Ross, Jenna",painting,2022,figure painting,"12"" x 16""",oil on canvas,painting,,,"Springfield, MA","Ross, Jenna",satfigurestill2022,image,jpg,"2,770,752 bytes",4/12/2025,"Ross, Jenna",copyright J Ross
